t	angle
9.33E-01	-0.93327
9.50E-01	-0.93838
9.67E-01	-0.94053
9.83E-01	-0.94542
1.00E+00	-0.94071
1.02E+00	-0.94405
1.03E+00	-0.93468
1.05E+00	-0.93343
1.07E+00	-0.92028
1.08E+00	-0.90244
1.10E+00	-0.88078
1.12E+00	-0.84948
1.13E+00	-0.80076
1.15E+00	-0.76558
1.17E+00	-0.69536
1.18E+00	-0.63768
1.20E+00	-0.54422
1.22E+00	-0.4494
1.23E+00	-0.35213
1.30E+00	0.098365
1.32E+00	0.203736
1.33E+00	0.437095
1.43E+00	0.958249
1.45E+00	0.98466
1.47E+00	0.997194
1.48E+00	0.999793
1.58E+00	0.908252
1.60E+00	0.868701
1.63E+00	0.847892
1.65E+00	0.8369
1.67E+00	0.823169
1.68E+00	0.815479
1.70E+00	0.809217
1.72E+00	0.808254
1.73E+00	0.811919
1.75E+00	0.816894
1.77E+00	0.8236
1.78E+00	0.835496
1.80E+00	0.848243
1.82E+00	0.864898
1.83E+00	0.884462
1.85E+00	0.908726
1.87E+00	0.930383
1.88E+00	0.952142
1.90E+00	0.973518
1.92E+00	0.988218
1.93E+00	0.998965
1.95E+00	0.999161
1.97E+00	0.990967
1.98E+00	0.965714
2.00E+00	0.924495
2.02E+00	0.862411
2.10E+00	0.318098
2.12E+00	0.176726
2.13E+00	0.009118
2.15E+00	-0.1216
2.17E+00	-0.26207
2.18E+00	-0.40246
2.20E+00	-0.51519
2.22E+00	-0.60651
2.23E+00	-0.66745
2.25E+00	-0.75616
2.27E+00	-0.80771
2.28E+00	-0.85206
2.30E+00	-0.866
2.32E+00	-0.90656
2.33E+00	-0.92269
2.35E+00	-0.9356
2.37E+00	-0.94509
2.38E+00	-0.94672
2.40E+00	-0.96309
2.42E+00	-0.96482
2.43E+00	-0.96442
2.45E+00	-0.9644
2.47E+00	-0.93294
2.48E+00	-0.91937
2.50E+00	-0.90309
2.52E+00	-0.91984
2.53E+00	-0.91396
2.55E+00	-0.879
2.57E+00	-0.85657
2.58E+00	-0.81231
2.60E+00	-0.77492
2.62E+00	-0.72611
2.63E+00	-0.64308
2.65E+00	-0.56444
2.67E+00	-0.48426
2.68E+00	-0.3059
2.70E+00	-0.1529
2.72E+00	-0.03302
2.73E+00	0.12573
2.75E+00	0.229017
2.77E+00	0.38739
