t	angle	cycles
0.933000000	-0.933270000	0
0.950000000	-0.938380000	0
0.967000000	-0.940530000	0
0.983000000	-0.945420000	0
1.000000000	-0.940710000	0
1.020000000	-0.944050000	0
1.030000000	-0.934680000	0
1.050000000	-0.933430000	0
1.070000000	-0.920280000	0
1.080000000	-0.902440000	0
1.100000000	-0.880780000	0
1.120000000	-0.849480000	0
1.130000000	-0.800760000	0
1.150000000	-0.765580000	0
1.170000000	-0.695360000	0
1.180000000	-0.637680000	0
1.200000000	-0.544220000	0
1.220000000	-0.449400000	0
1.230000000	-0.352130000	0
1.300000000	0.098365000	0
1.320000000	0.203736000	0
1.330000000	0.437095000	0
1.430000000	0.958249000	0
1.450000000	0.984660000	0
1.470000000	0.997194000	0
1.480000000	0.999793000	0
1.580000000	0.908252000	0
1.600000000	0.868701000	0
1.630000000	0.847892000	0
1.650000000	0.836900000	0
1.670000000	0.823169000	0
1.680000000	0.815479000	0
1.700000000	0.809217000	0
1.720000000	0.808254000	0
1.730000000	0.811919000	0
1.750000000	0.816894000	0
1.770000000	0.823600000	0
1.780000000	0.835496000	0
1.800000000	0.848243000	0
1.820000000	0.864898000	0
1.830000000	0.884462000	0
1.850000000	0.908726000	0
1.870000000	0.930383000	0
1.880000000	0.952142000	0
1.900000000	0.973518000	0
1.920000000	0.988218000	0
1.930000000	0.998965000	0
1.950000000	0.999161000	0
1.970000000	0.990967000	0
1.980000000	0.965714000	0
2.000000000	0.924495000	0
2.020000000	0.862411000	0
2.100000000	0.318098000	0
2.120000000	0.176726000	0
2.130000000	0.009118000	0
2.150000000	-0.121600000	0
2.170000000	-0.262070000	0
2.180000000	-0.402460000	0
2.200000000	-0.515190000	0
2.220000000	-0.606510000	0
2.230000000	-0.667450000	0
2.250000000	-0.756160000	0
2.270000000	-0.807710000	0
2.280000000	-0.852060000	0
2.300000000	-0.866000000	0
2.320000000	-0.906560000	0
2.330000000	-0.922690000	0
2.350000000	-0.935600000	0
2.370000000	-0.945090000	0
2.380000000	-0.946720000	0
2.400000000	-0.963090000	1
2.420000000	-0.964820000	1
2.430000000	-0.964420000	1
2.450000000	-0.964400000	1
2.470000000	-0.932940000	1
2.480000000	-0.919370000	1
2.500000000	-0.903090000	1
2.520000000	-0.919840000	1
2.530000000	-0.913960000	1
2.550000000	-0.879000000	1
2.570000000	-0.856570000	1
2.580000000	-0.812310000	1
2.600000000	-0.774920000	1
2.620000000	-0.726110000	1
2.630000000	-0.643080000	1
2.650000000	-0.564440000	1
2.670000000	-0.484260000	1
2.680000000	-0.305900000	1
2.700000000	-0.152900000	1
2.720000000	-0.033020000	1
2.730000000	0.125730000	1
2.750000000	0.229017000	1
2.770000000	0.387390000	1
2.780000000	0.508594000	1
2.800000000	0.630877000	1
2.820000000	0.729235000	1
2.830000000	0.812777000	1
2.850000000	0.882710000	1
2.870000000	0.922067000	1
2.880000000	0.964258000	1
2.900000000	0.986848000	1
2.920000000	0.998243000	1
2.930000000	0.999903000	1
2.950000000	0.989675000	1
2.980000000	0.966662000	1
3.000000000	0.946108000	1
3.020000000	0.924287000	1
3.030000000	0.905284000	1
3.050000000	0.885248000	1
3.070000000	0.870591000	1
3.080000000	0.853174000	1
3.100000000	0.842855000	1
3.120000000	0.832410000	1
3.130000000	0.827062000	1
3.150000000	0.825900000	1
3.170000000	0.826591000	1
3.180000000	0.832597000	1
3.200000000	0.839873000	1
3.220000000	0.850939000	1
3.230000000	0.861489000	1
3.250000000	0.877026000	1
3.270000000	0.893581000	1
3.280000000	0.912328000	1
3.300000000	0.935457000	1
3.320000000	0.954892000	1
3.330000000	0.975476000	1
3.350000000	0.971909000	1
3.370000000	0.988859000	1
3.380000000	0.998410000	1
3.400000000	0.990309000	1
3.420000000	0.967387000	1
3.430000000	0.926877000	1
3.450000000	0.857582000	1
3.470000000	0.776622000	1
3.480000000	0.685678000	1
3.500000000	0.580461000	1
3.520000000	0.457463000	1
3.550000000	0.197287000	1
3.570000000	0.065549000	1
3.580000000	-0.070870000	1
3.600000000	-0.186810000	1
3.620000000	-0.304500000	1
3.630000000	-0.400380000	1
3.650000000	-0.398840000	1
3.670000000	-0.469140000	1
3.680000000	-0.495870000	1
3.700000000	-0.603050000	1
3.750000000	-0.767510000	1
3.770000000	-0.786380000	1
3.780000000	-0.814350000	1
3.800000000	-0.825210000	2
3.820000000	-0.841370000	2
3.830000000	-0.847670000	2
3.850000000	-0.852860000	2
3.870000000	-0.850590000	2
3.880000000	-0.849080000	2
3.900000000	-0.847560000	2
3.920000000	-0.837260000	2
3.930000000	-0.826440000	2
3.950000000	-0.813410000	2
3.970000000	-0.791180000	2
3.980000000	-0.759690000	2
4.000000000	-0.719050000	2
4.020000000	-0.686390000	2
4.030000000	-0.625550000	2
4.050000000	-0.576430000	2
4.070000000	-0.496850000	2
4.080000000	-0.398280000	2
4.100000000	-0.304220000	2
4.120000000	-0.302250000	2
4.130000000	-0.197410000	2
4.150000000	-0.062110000	2
4.170000000	0.137046000	2
4.180000000	0.256425000	2
4.200000000	0.402481000	2
4.220000000	0.524130000	2
4.230000000	0.629842000	2
4.250000000	0.735971000	2
4.280000000	0.882596000	2
4.320000000	0.969470000	2
4.330000000	0.990332000	2
4.350000000	0.999428000	2
4.370000000	0.997358000	2
