Angle(rad) Period(s) Angle_uncert Period_uncert
-1.570796 1.6998 0.01745 0.02056
-1.396263 1.6764 0.01745 0.02205
-1.221730 1.5824 0.01745 0.02257
-1.047198 1.5742 0.01745 0.01466
-0.872665 1.5842 0.01745 0.02118
-0.698132 1.5574 0.01745 0.01068
-0.523599 1.5572 0.01745 0.01819
-0.349066 1.5052 0.01745 0.01313
-0.174533 1.5048 0.01745 0.00907
0.174533 1.5144 0.01745 0.00793
0.349066 1.5366 0.01745 0.01052
0.523599 1.5348 0.01745 0.01273
0.698132 1.5858 0.01745 0.01440
0.872665 1.597 0.01745 0.03435
1.047198 1.5966 0.01745 0.00938
1.221730 1.63 0.01745 0.01228
1.396263 1.659 0.01745 0.01246
1.570796 1.6652 0.01745 0.00516
