Angle(rad) Period(s) Angle_uncert Period_uncert
-1.570796 1.670000 0.01745 0.014000
-1.396263 1.646000 0.01745 0.015000
-1.221730 1.63000 0.01745 0.013000
-1.047198 1.584000 0.01745 0.015000
-0.872665 1.584000 0.01745 0.014000
-0.698132 1.558000 0.01745 0.011000
-0.51599 1.537000 0.01745 0.014000
-0.349066 1.527000 0.01745 0.013000
-0.174533 1.525000 0.01745 0.009000
0.174533 1.515000 0.01745 0.008000
0.349066 1.537000 0.01745 0.011000
0.523599 1.535000 0.01745 0.014000
0.698132 1.556000 0.01745 0.014000
0.872665 1.589000 0.01745 0.015000
1.047198 1.597000 0.01745 0.013000
1.221730 1.633000 0.01745 0.015000
1.396263 1.659000 0.01745 0.014000
1.570796 1.665000 0.01745 0.014000
